MoveEvent(x=1266, y=661, time=1719664952.1662862)
MoveEvent(x=1270, y=663, time=1719664952.1662862)
MoveEvent(x=1275, y=663, time=1719664952.1662862)
MoveEvent(x=1283, y=663, time=1719664952.1697898)
MoveEvent(x=1289, y=663, time=1719664952.1697898)
MoveEvent(x=1295, y=663, time=1719664952.1697898)
MoveEvent(x=1299, y=664, time=1719664952.1697898)
MoveEvent(x=1305, y=664, time=1719664952.1697898)
MoveEvent(x=1311, y=664, time=1719664952.1740704)
MoveEvent(x=1315, y=666, time=1719664952.1740704)
MoveEvent(x=1321, y=666, time=1719664952.1740704)
MoveEvent(x=1326, y=667, time=1719664952.1740704)
MoveEvent(x=1332, y=667, time=1719664952.178508)
MoveEvent(x=1336, y=669, time=1719664952.178508)
MoveEvent(x=1342, y=669, time=1719664952.180446)
MoveEvent(x=1348, y=669, time=1719664952.180446)
MoveEvent(x=1354, y=669, time=1719664952.1825926)
MoveEvent(x=1360, y=669, time=1719664952.1825926)
MoveEvent(x=1366, y=669, time=1719664952.1825926)
MoveEvent(x=1372, y=669, time=1719664952.1825926)
MoveEvent(x=1376, y=669, time=1719664952.1825926)
MoveEvent(x=1382, y=669, time=1719664952.1869843)
MoveEvent(x=1387, y=669, time=1719664952.188835)
MoveEvent(x=1393, y=669, time=1719664952.188835)
MoveEvent(x=1399, y=669, time=1719664952.188835)
MoveEvent(x=1404, y=669, time=1719664952.1910417)
MoveEvent(x=1410, y=669, time=1719664952.1910417)
MoveEvent(x=1416, y=669, time=1719664952.1910417)
MoveEvent(x=1421, y=669, time=1719664952.1910417)
MoveEvent(x=1427, y=669, time=1719664952.195425)
MoveEvent(x=1431, y=669, time=1719664952.195425)
MoveEvent(x=1437, y=669, time=1719664952.195425)
MoveEvent(x=1443, y=669, time=1719664952.195425)
MoveEvent(x=1449, y=669, time=1719664952.1991131)
MoveEvent(x=1453, y=669, time=1719664952.200838)
MoveEvent(x=1459, y=669, time=1719664952.200838)
MoveEvent(x=1464, y=668, time=1719664952.200838)
MoveEvent(x=1470, y=668, time=1719664952.203513)
MoveEvent(x=1474, y=667, time=1719664952.203513)
MoveEvent(x=1480, y=667, time=1719664952.203513)
MoveEvent(x=1486, y=665, time=1719664952.203513)
MoveEvent(x=1489, y=664, time=1719664952.2076418)
MoveEvent(x=1495, y=664, time=1719664952.2076418)
MoveEvent(x=1499, y=664, time=1719664952.2098484)
MoveEvent(x=1505, y=662, time=1719664952.210848)
MoveEvent(x=1510, y=661, time=1719664952.2118607)
